ITEM_TYPE,PRODUCT,MONTH,QUANTITY_PURCHASED,SALES
Sweaters,Baby micro deluxe cardigan,1751328000,1295,58210.25
Pants,Worldwide pants,1751328000,511,28079.45
Pants,Tropical hemp pants,1751328000,1268,76016.6
Shirts,Floral t-shirt,1751328000,825,15633.75
Skirts,Multi use skirt,1751328000,2529,101033.55
Bags,Travel duffel,1754006400,2747,274562.65
Pants,Kat 4 bottoms,1751328000,1581,71065.95
Shirts,Merino hip crew,1751328000,704,24604.8
Shirts,All weather training top,1751328000,370,14041.5
Pants,Kat 3 bottoms,1751328000,671,30161.45
Shirts,L/s shark t-shirt,1751328000,576,14947.2
Jackets,Andorra jacket,1751328000,565,47996.75
Pants,Worldwide capris,1754006400,1318,85604.1
Pants,Nice trek pants,1754006400,1416,91969.2
Pants,Old school pants,1754006400,746,48452.7
Pants,Solid pants,1754006400,592,38450.4
Shirts,Dragon t-shirt,1754006400,699,13246.05
Shirts,World tour t-shirt,1754006400,344,6518.8
Shirts,Planets t-shirt,1754006400,296,5609.2
Pants,Nice pants,1756684800,1415,84829.25
Vests,Pathwalker vest,1751328000,1777,133186.15
Shirts,Silhouette t-shirt,1751328000,293,5552.35
Pants,Langkawi pants,1754006400,764,30521.8
Shirts,Cow skull t-shirt,1754006400,827,15671.65
Shirts,Kat 2 crew,1754006400,535,18698.25
Shirts,Kat 1 t-shirt,1754006400,994,18836.3
Jackets,T5 jacket,1754006400,602,51139.9
Jeans,Relax fit organic ctn jeans-reg,1754006400,1984,109020.8
Shirts,S/s blue sun shirt,1754006400,597,13104.15
Shirts,Baseball tank,1754006400,630,11308.5
Shorts,Girl's flower shorts,1754006400,438,19688.1
Shorts,Heavy duty shorts,1754006400,2013,90484.35
Swimwear,Seychelles bottom,1754006400,772,15401.4
Shirts,Killer whale t-shirt,1754006400,384,7276.8
Shorts,Multi use shorts,1754006400,690,31015.5
Swimwear,Ibiza top,1756684800,1240,37138
Swimwear,St Tropez halter top,1756684800,1592,31760.4
Shorts,Old school shorts,1756684800,558,25082.1
Jackets,Climber jacket,1756684800,236,21228.2
Shorts,Roma shorts,1756684800,1626,73088.7
Shirts,Blue marlin 2 t-shirt,1756684800,767,14534.65
Shirts,Earth day t-shirt,1756684800,166,3145.7
Shirts,Motorcycle t-shirt,1759276800,764,14477.8
Shirts,Baby farm t-shirt,1759276800,196,3714.2
Bags,Point break pack,1759276800,1720,68714
Shorts,Baby ruffles shorts,1759276800,1088,43465.6
Shorts,Duck shorts,1761955200,1686,75785.7
Headwear,Logo hat,1764547200,2539,63348.05
Skirts,Iris skirt,1756684800,1636,81718.2
Sweaters,Baby striped cardigan,1756684800,300,10485
Shirts,Sleeveless a/c shirt,1756684800,243,4604.85
Dresses,Langkawi dress,1756684800,183,8225.85
Shorts,One-stripe board shorts,1756684800,218,6529.1
Pants,Iris pants,1759276800,880,57156
Shirts,Small logo pkt t-shirt,1759276800,618,12329.1
Shorts,Nice shorts-7 in.,1759276800,316,14204.2
Shirts,Merino hip t-shirt 1,1761955200,246,4661.7
Shirts,Moose t-shirt,1761955200,562,10649.9
Shirts,Merino hip t-shirt 2,1764547200,404,7655.8
Pants,Shelled insulator pants,1764547200,1281,63985.95
Shirts,Oz t-shirt,1764547200,362,6859.9
Jackets,Micro smooth jacket,1767225600,1133,90583.35
Swimwear,Mozambique bikini,1751328000,667,26646.65
Shorts,Baby ruffles shorts,1751328000,987,39430.65
Shorts,Nylon twill shorts,1751328000,1758,70232.1
Swimwear,Rashguard,1754006400,2533,50533.35
Pants,Thomas pants,1754006400,1030,56598.5
Shirts,Clown fish t-shirt,1754006400,330,6253.5
Dresses,Bali dress,1754006400,1781,121018.95
Swimwear,Antibes bottom,1754006400,210,4189.5
Swimwear,Solid kaui halter top,1754006400,2498,49835.1
Swimwear,S/s rashguard,1754006400,1453,36252.35
Skirts,Bird of paradise skirt,1754006400,3157,141907.15
Shorts,Straight board shorts-19 in.,1754006400,749,22432.55
Jackets,Heavy sweater jacket,1754006400,740,51023
Sweatshirts,Hooded warrior sweatshirt,1754006400,1963,68606.85
Shirts,Fly fishing silhouette t-shirt,1754006400,1053,19954.35
Shirts,Moose t-shirt,1754006400,617,11692.15
Shirts,S/s octopus shirt,1754006400,905,19864.75
Swimwear,Monaco tankini,1754006400,171,5121.45
Swimwear,Baby sunshade top,1754006400,1785,35610.75
Shirts,Italia t-shirt,1754006400,501,9493.95
