Customer Number,Customer,Customer Type,SegmentDesc,Region
10004245,Leading Brand,G2,Restaurant & Cafes,Pacific
10009676,Peerless Joint,G2,Convenience Stores,Americas
10012226,Optimum Chef,G2,Restaurant & Cafes,Pacific
10012425,Ultimate Chef,G2,Supermarkets,Europe
10015793,Top Eats,G2,Convenience Stores,Americas
10016588,Star Eats,G2,Convenience Stores,Americas
10017314,Top Fresh,G2,Alternative,Pacific
10017828,Record-Breaking Principle,G2,Bottle Shops,Europe
10021139,Unsurpassable Cupbpard,G3,Convenience Stores,Americas
10021485,Chief Kings,G2,Restaurant & Cafes,Europe
10022444,Foremost Minutemen,G2,Restaurant & Cafes,Europe
10022456,Greatest Eats,G2,Convenience Stores,Americas
10000466,Finest Product,G2,Convenience Stores,Americas
10009643,Unrivaled Choice,G2,Supermarkets,Africa
10011398,Unbeatable Boys,G2,Convenience Stores,Americas
10017036,Star Products,G2,Supermarkets,Asia
10019900,Unbeatable Nutritious,G2,Convenience Stores,Americas
10021986,Prime Plate,G2,Convenience Stores,Europe
10024262,Unsurpassable Meals,G2,Convenience Stores,Americas
10025298,Star Booth,G3,Hotels & Clubs,Middle East
10025778,Prime Product,G2,Convenience Stores,Americas
10009631,Superlative Natural,G2,Convenience Stores,Americas
10020192,Unbeaten Natural,G2,Convenience Stores,Americas
10023023,Top Products,G2,Bottle Shops,Europe
10023212,Foremost Goods,G2,Hotels & Clubs,Americas
10024022,2Nd2None Nutritious,G2,Bottle Shops,Europe
10025034,Unbeatable King,G2,Supermarkets,Americas
10025251,Highest Blend,G2,Convenience Stores,Europe
10004256,Preeminent Brands,G2,Convenience Stores,Americas
10009656,Unsurpassable Kitchen,G2,Convenience Stores,Americas
10023275,Preeminent Principle,G2,Supermarkets,Americas
10026606,2Nd2None Tasting,G2,Restaurant & Cafes,Europe
10026843,Nonpareil Ever,G2,Hotels & Clubs,Americas
10019617,Optimal Landings,G2,Hotels & Clubs,Americas
10022240,Preeminent Corner,G3,Convenience Stores,Americas
10022434,Top Booth,G2,Supermarkets,Americas
10025814,Chief Goods,G2,Hotels & Clubs,Americas
10010970,Unbeaten House,G2,Supermarkets,Africa
10026062,Supreme Principle,G2,Convenience Stores,Europe
10000000,Highest Quality Source,G2,Convenience Stores,Americas
10014469,Ideal Plate,G2,Restaurant & Cafes,Europe
10014803,Highest Minutemen,G2,Convenience Stores,Americas
10016858,#1 Product,G2,Convenience Stores,Europe
10017054,Par Excellence Goods,G2,Hotels & Clubs,Americas
10025061,Surpassing Chef,G2,Supermarkets,Africa
