INCIDENT_ID,EMPLOYEE_ID,DATE,LOCATION,DEPARTMENT,INCIDENT_TYPE,SEVERITY,DESCRIPTION,OVERTIME_ON_DAY,HOURS_WORKED_BEFORE_INCIDENT
INC-0293,EMP-1186,2026-06-09,Atlanta DC,Warehouse & Logistics,Repetitive Strain,Low,Incident at Atlanta DC involving Repetitive Strain - Low severity,FALSE,4.4
INC-0294,EMP-1265,2026-06-09,Denver Office,Customer Service,Equipment Malfunction,High,Incident at Denver Office involving Equipment Malfunction - High severity,FALSE,7.7
INC-0291,EMP-1349,2026-06-08,Atlanta DC,Engineering,Repetitive Strain,Low,Incident at Atlanta DC involving Repetitive Strain - Low severity,FALSE,4.4
INC-0292,EMP-1343,2026-06-08,Baltimore HQ,Engineering,Equipment Malfunction,High,Incident at Baltimore HQ involving Equipment Malfunction - High severity,FALSE,7.7
INC-0287,EMP-1346,2026-06-01,Austin Hub,Warehouse & Logistics,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,4.4
INC-0288,EMP-1031,2026-06-01,Chicago Plant,Warehouse & Logistics,Equipment Malfunction,High,Incident at Chicago Plant involving Equipment Malfunction - High severity,FALSE,7.7
INC-0285,EMP-1049,2026-05-30,Chicago Plant,Warehouse & Logistics,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,4.4
INC-0286,EMP-1247,2026-05-30,Austin Hub,Customer Service,Equipment Malfunction,High,Incident at Austin Hub involving Equipment Malfunction - High severity,FALSE,7.7
INC-0281,EMP-1057,2026-05-26,Atlanta DC,Customer Service,Near Miss,Low,Incident at Atlanta DC involving Near Miss - Low severity,FALSE,4.4
INC-0282,EMP-1352,2026-05-26,Baltimore HQ,Warehouse & Logistics,Fatigue-Related Error,High,Incident at Baltimore HQ involving Fatigue-Related Error - High severity,FALSE,7.7
INC-0279,EMP-1179,2026-05-25,Denver Office,Warehouse & Logistics,Repetitive Strain,Low,Incident at Denver Office involving Repetitive Strain - Low severity,FALSE,4.4
INC-0280,EMP-1101,2026-05-25,Baltimore HQ,Customer Service,Equipment Malfunction,High,Incident at Baltimore HQ involving Equipment Malfunction - High severity,FALSE,7.7
INC-0277,EMP-1324,2026-05-23,Austin Hub,Customer Service,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,4.4
INC-0278,EMP-1129,2026-05-23,Atlanta DC,Engineering,Equipment Malfunction,High,Incident at Atlanta DC involving Equipment Malfunction - High severity,FALSE,7.7
INC-0274,EMP-1222,2026-05-18,Austin Hub,Warehouse & Logistics,Fatigue-Related Error,Medium,Incident at Austin Hub involving Fatigue-Related Error - Medium severity,FALSE,7.7
INC-0271,EMP-1034,2026-05-16,Chicago Plant,Warehouse & Logistics,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,4.4
INC-0269,EMP-1320,2026-05-15,Baltimore HQ,Engineering,Repetitive Strain,Low,Incident at Baltimore HQ involving Repetitive Strain - Low severity,FALSE,4.4
INC-0268,EMP-1236,2026-05-12,Atlanta DC,Engineering,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,FALSE,7.7
INC-0265,EMP-1246,2026-05-12,Atlanta DC,Warehouse & Logistics,Repetitive Strain,Low,Incident at Atlanta DC involving Repetitive Strain - Low severity,FALSE,4.4
INC-0263,EMP-1142,2026-05-08,Atlanta DC,Engineering,Repetitive Strain,Low,Incident at Atlanta DC involving Repetitive Strain - Low severity,FALSE,4.4
INC-0261,EMP-1254,2026-05-07,Chicago Plant,Engineering,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,4.4
INC-0259,EMP-1294,2026-05-06,Chicago Plant,Warehouse & Logistics,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,4.4
INC-0243,EMP-1271,2026-04-24,Atlanta DC,Customer Service,Ergonomic Strain,High,Incident at Atlanta DC involving Ergonomic Strain - High severity,FALSE,7.7
INC-0241,EMP-1069,2026-04-21,Atlanta DC,Customer Service,Equipment Malfunction,High,Incident at Atlanta DC involving Equipment Malfunction - High severity,FALSE,7.7
INC-0236,EMP-1304,2026-04-16,Denver Office,Sales,Ergonomic Strain,Low,Incident at Denver Office involving Ergonomic Strain - Low severity,FALSE,4.4
INC-0225,EMP-1172,2025-12-25,Austin Hub,Sales,Repetitive Strain,Low,Incident at Austin Hub involving Repetitive Strain - Low severity,FALSE,2.2
INC-0226,EMP-1149,2025-12-28,Chicago Plant,Customer Service,Caught Between Objects,Low,Incident at Chicago Plant involving Caught Between Objects - Low severity,TRUE,8.0
INC-0227,EMP-1124,2025-12-29,Baltimore HQ,Customer Service,Near Miss,Low,Incident at Baltimore HQ involving Near Miss - Low severity,FALSE,3.4
INC-0228,EMP-1100,2025-12-31,Denver Office,Sales,Fatigue-Related Error,Medium,Incident at Denver Office involving Fatigue-Related Error - Medium severity,FALSE,4.6
INC-0229,EMP-1153,2025-12-31,Baltimore HQ,Customer Service,Fatigue-Related Error,Low,Incident at Baltimore HQ involving Fatigue-Related Error - Low severity,TRUE,4.7
INC-0230,EMP-1217,2025-12-31,Austin Hub,Customer Service,Near Miss,Medium,Incident at Austin Hub involving Near Miss - Medium severity,FALSE,8.8
INC-0231,EMP-1190,2026-01-04,Denver Office,Human Resources,Fatigue-Related Error,Medium,Incident at Denver Office involving Fatigue-Related Error - Medium severity,FALSE,9.2
INC-0232,EMP-1239,2026-01-04,Chicago Plant,Sales,Near Miss - Forklift,Low,Incident at Chicago Plant involving Near Miss - Forklift - Low severity,TRUE,6.1
INC-0233,EMP-1108,2026-01-06,Atlanta DC,Warehouse & Logistics,Ergonomic Strain,Critical,Incident at Atlanta DC involving Ergonomic Strain - Critical severity,TRUE,1.3
INC-0216,EMP-1146,2025-12-16,Denver Office,Sales,Repetitive Strain,Medium,Incident at Denver Office involving Repetitive Strain - Medium severity,TRUE,1.9
INC-0217,EMP-1219,2025-12-16,Chicago Plant,Finance,Repetitive Strain,Low,Incident at Chicago Plant involving Repetitive Strain - Low severity,FALSE,5.2
INC-0218,EMP-1230,2025-12-19,Denver Office,Engineering,Minor Cut/Bruise,Medium,Incident at Denver Office involving Minor Cut/Bruise - Medium severity,FALSE,5.1
INC-0219,EMP-1202,2025-12-22,Austin Hub,Human Resources,Near Miss - Forklift,Medium,Incident at Austin Hub involving Near Miss - Forklift - Medium severity,TRUE,7.4
INC-0220,EMP-1232,2025-12-24,Austin Hub,Human Resources,Fatigue-Related Error,Low,Incident at Austin Hub involving Fatigue-Related Error - Low severity,TRUE,2.5
INC-0221,EMP-1256,2025-12-24,Atlanta DC,Human Resources,Ergonomic Strain,Low,Incident at Atlanta DC involving Ergonomic Strain - Low severity,FALSE,7.8
INC-0222,EMP-1020,2025-12-25,Austin Hub,Warehouse & Logistics,Ergonomic Strain,Low,Incident at Austin Hub involving Ergonomic Strain - Low severity,FALSE,1.9
INC-0223,EMP-1024,2025-12-25,Austin Hub,Engineering,Caught Between Objects,Medium,Incident at Austin Hub involving Caught Between Objects - Medium severity,FALSE,9.2
INC-0224,EMP-1113,2025-12-25,Atlanta DC,Customer Service,Fatigue-Related Error,Low,Incident at Atlanta DC involving Fatigue-Related Error - Low severity,TRUE,5.9
INC-0173,EMP-1126,2025-10-19,Baltimore HQ,Sales,Near Miss - Forklift,Low,Incident at Baltimore HQ involving Near Miss - Forklift - Low severity,FALSE,6.5
INC-0174,EMP-1061,2025-10-20,Atlanta DC,Customer Service,Equipment Malfunction,Low,Incident at Atlanta DC involving Equipment Malfunction - Low severity,FALSE,5.1
INC-0175,EMP-1239,2025-10-20,Chicago Plant,Sales,Ergonomic Strain,Medium,Incident at Chicago Plant involving Ergonomic Strain - Medium severity,FALSE,3.0
INC-0176,EMP-1172,2025-10-22,Austin Hub,Sales,Caught Between Objects,Low,Incident at Austin Hub involving Caught Between Objects - Low severity,FALSE,9.2
