Word / phrase,Status,Definition,Guidelines,"""Do this"" example","""Don’t do this"" example",Notes & Qs,Don't translate,Product area(s),Screenshot(s),Last updated at,Created at,Last updated by
Act (license tier),Approved,"License tiers are used for billing purposes and are assigned to account types based on the enabled permissions. The Act tier is for contributors who input data, update data, and export information.","Different than “account type”, do not use interchangeably
If you have to use a noun, use “license tier”, not “license type” (to avoid confusion with “account type”. Ideally, write around having to use a noun.
Do not say “user account level” or “user roles”",✅ The Act license tier is for collaborative data contributors who actively input and update data.,❌ “Act is a license type.”,"Do not translate ""Act"" when referring to a license tier",true,,,2026-03-09 14:12:40,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Action modal ,Approved,The modal that contains the action configurations. This is displayed when a user adds a new action or selects an existing one. The word “Action” appears in the modal header.,"
Bold, uppercase “Action”","✅ “In the Action modal, configure the required fields to define the response.”", ,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Actions panel ,Approved,"The side panel when the Actions tab is selected. 
When no element is selected, the Modify > Actions panel lists all actions configured on the current page.
When a specific element is selected, the [element name] > Actions panel shows existing action sequences configured for the element and allows the user to add new ones. ","
Bold, uppercase “Actions” ","✅ “In the Actions panel, click  Add action sequence.”", ,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Actions tab ,Approved,"The tab in the side panel that, when selected, opens the Actions panel.","
Bold, uppercase “Actions”","✅ “In the side panel, select the Actions tab.”", ,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Admin account type,Approved,The account type that gives users access to features in the Administration portal.,"
Do not use “Admin role”, “Sigma Admin”, “Administrators”. ",✅ “You must be assigned the Admin account type.” ,❌ “This is only accessible to users in an Admin role.”,,,,,2025-12-05 14:24:21,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Administration,Approved,The product area containing all administrator features (accessible only to users assigned the Admin account type),"• Bold, uppercase.
• Use this when referring to the UI (e.g., navigation)
• Use “Administration portal” when referencing the general product area (see Administration portal)",✅ “Go to Administration > Connections > Create Connections.”,❌ “Go to Connections in the administration portal.”,,,,,2025-12-11 15:46:25,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Administration portal,Approved,The product area containing all administrator features (accessible only to users assigned the Admin account type),"• Write the full word Administration
• Portal should be in lowercase, nothing bolded
• Use when referring to the area of the product, but not when referencing the UI ",✅ “Access data platform connections from the Administration portal.”,"❌ “In the side panel of the admin portal, select Connections.”",,,,,2025-12-11 15:46:25,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Analyze (license tier),Approved,"License tiers are used for billing purposes and are assigned to account types based on the enabled permissions. The Analyze tier is for ""power users"" who need deep-dive capabilities and ad hoc analysis without building new workbooks.","Different than “account type”, do not use interchangeably
If you have to use a noun, use “license tier”, not “license type” (to avoid confusion with “account type”. Ideally, write around having to use a noun.
Do not say “user account level” or “user roles”",✅ The Analyze license tier is for decision-making data consumers who require more deep-dive capabilities without building workbooks themselves.,❌ “Analyze is a license type.”,"Do not translate ""Analyze"" when referring to a license tier",true,,,2026-03-09 14:12:40,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Ask Sigma,Do not use,"Note: Updating all AI-related terminology to ""Sigma Assistant"" in 2026. The conversational chat functionality that uses AI in Sigma. ","Use when referring to the product functionality. Write the full phrase, do not shorten.  ",✅  Ask natural language queries with Ask Sigma.,❌  Use Ask to query with natural language.,Added 12/11 to match terms list in Sigma,true,,,2026-03-24 16:26:36,2025-12-11 13:46:57,margot.merrill@sigmacomputing.com
Build (license tier),Approved,"License tiers are used for billing purposes and are assigned to account types based on the enabled permissions. The Build tier allows users to model, transform, and build, as well as manage system administration.","Different than “account type”, do not use interchangeably
If you have to use a noun, use “license tier”, not “license type” (to avoid confusion with “account type”. Ideally, write around having to use a noun.
Do not say “user account level” or “user roles”","✅ Build is a license tier for data architects, BI analysts, and report builders who model, transform, and analyze data.","❌ “""Build is the highest license type.”","Do not translate ""Build"" when referring to a license tier",true,,,2026-03-09 14:12:40,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Condition modal,Approved,The modal that contains the action condition configurations. This is displayed when a user adds a condition to an action sequence or selects an existing one. The word “Condition” appears in the modal header. ,"
Bold, uppercase “Condition”","✅ “In the Condition modal, select Custom formula, then enter a formula.”", ,Question about the bold throughout guidelines since in our UI content guidelines we say not to use bold. To be discussed.,,,,2025-12-17 12:27:02,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Drill Anywhere,Do not use,Do not use. See “drill down”., , , ,,,,,2025-12-05 14:24:54,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
Dropdown (actions vs. navigations vs. field),Approved,To come, , , ,,,,,2025-12-05 14:25:51,2025-12-04 16:35:55,margot.merrill@sigmacomputing.com
